1;MQ-3;MQ-4;PRESION
385;95;148;117
386;93;147;119
387;92;146;117
388;94;146;117
389;94;148;118
390;93;147;119
391;92;147;119
392;94;148;118
393;92;146;119
394;93;148;120
395;92;147;119
396;93;147;120
397;92;146;118
398;94;146;118
399;92;147;119
400;92;147;119
401;95;146;118
402;94;146;118
403;93;147;119
404;93;147;119
405;93;147;119
406;92;146;119
407;92;146;119
408;94;148;118
409;94;148;117
410;92;146;119
411;92;147;119
412;92;146;119
413;94;145;118
414;93;147;120
415;92;147;119
416;94;148;118
417;94;148;118
418;92;146;119
419;92;146;118
420;94;147;118
421;93;148;120
422;93;147;119
423;93;147;120
424;92;146;119
425;92;146;118
426;93;147;119
427;92;147;119
428;92;147;119
429;92;147;119
430;94;148;118
431;94;148;118
432;92;146;119
433;93;147;119
434;92;146;119
435;94;148;118
436;94;148;118
437;92;146;119
438;94;148;118
439;93;148;120
440;94;145;118
441;93;149;118
442;92;148;119
443;93;148;120
444;92;145;119
445;94;146;118
446;92;144;119
447;93;146;119
448;93;146;120
449;94;146;118
450;92;145;119
451;94;146;118
452;94;146;118
453;92;144;119
454;92;147;119
455;92;146;119
456;92;146;119
457;93;150;119
458;92;149;119
459;92;148;119
460;92;148;119
461;92;149;119
462;92;149;119
463;94;152;118
464;94;149;118
465;94;149;118
466;95;149;118
467;95;151;120
468;95;153;118
469;93;150;118
470;95;151;117
471;93;151;120
472;92;149;119
473;95;151;118
474;93;151;119
475;93;150;119
476;95;150;118
477;93;151;119
478;92;150;119
479;92;150;119
480;92;152;119
481;93;153;120
482;94;152;118
483;94;151;118
484;91;153;120
485;94;152;118
486;93;150;118
487;91;153;119
488;91;152;119
489;92;153;119
490;91;153;119
491;93;153;118
492;90;153;119
493;91;154;120
494;92;152;118
495;91;154;120
496;90;152;119
497;90;152;119
498;92;152;118
499;90;152;118
500;90;152;119
501;90;153;119
502;93;154;120
503;93;154;120
504;94;154;120
505;94;154;125
506;91;155;123
507;91;157;118
508;93;154;120
509;91;156;120
510;91;154;121
511;91;156;120
512;90;153;119
513;91;159;120
514;92;159;118
515;89;161;119
516;89;160;119
517;89;159;119
518;92;157;117
519;92;159;118
520;92;156;118
521;90;157;119
522;92;157;118
523;92;157;118
524;89;157;119
525;91;157;118
526;90;157;120
527;90;157;118
528;90;157;119
529;89;158;121
530;88;157;119
531;90;155;120
532;90;155;121
533;90;156;120
534;88;156;121
535;89;158;122
536;90;156;120
537;90;156;118
538;89;158;119
539;89;158;122
540;88;156;121
541;89;157;122
542;88;157;121
543;90;156;120
544;90;156;121
545;88;156;123
546;90;156;122
547;88;156;121
548;89;158;124
