1, 475 421 373 27.19;
2, 323 322 315 27.12;
3, 302 305 296 27.12;
4, 295 300 290 27.19;
5, 294 299 289 27.19;
6, 294 299 289 27.12;
7, 294 299 289 27.12;
8, 295 299 289 27.12;
9, 295 300 290 27.12;
10, 295 300 290 27.19;
11, 295 300 290 27.19;
12, 295 300 290 27.19;
13, 296 300 290 27.12;
14, 296 300 290 27.12;
15, 296 301 290 27.12;
16, 296 300 290 27.19;
17, 296 301 291 27.12;
18, 296 300 290 27.12;
19, 296 301 291 27.12;
20, 296 300 290 27.12;
21, 296 301 290 27.06;
22, 296 301 290 27.12;
23, 297 301 291 27.06;
24, 297 301 291 27.12;
25, 297 301 291 27.12;
26, 297 301 291 27.12;
27, 296 301 291 27.06;
