201, 650 502 112 31.25;
202, 650 502 502 112.;
203, 650 503 112 31.25;
204, 650 502 111 31.25;
205, 650 502 113 31.25;
206, 650 502 112 31.25;
207, 650 502 113 31.25;
208, 651 501 112 31.25;
209, 650 502 114 31.25;
210, 650 501 113 31.25;
211, 651 502 112 31.25;
212, 650 501 113 31.19;
213, 650 501 113 31.25;
214, 651 501 112 31.25;
215, 650 501 112 31.25;
216, 649 501 113 31.19;
217, 650 501 112 31.25;
218, 650 501 113 31.25;
219, 651 501 112 31.25;
220, 650 501 0 31.25;
221, 650 501 112 31.25;
222, 651 501 112 31.25;
223, 649 501 113 31.25;
224, 650 502 112 31.25;
225, 650 501 113 31.25;
226, 650 501 113 31.25;
227, 649 501 113 31.25;
228, 650 501 113 31.25;
229, 650 502 114 31.25;
230, 650 502 112 31.19;
231, 650 502 113 31.25;
232, 650 501 112 31.19;
233, 650 502 113 31.19;
234, 650 502 113 31.19;
235, 650 502 113 31.19;
236, 650 502 112 31.19;
237, 649 501 112 31.25;
238, 650 501 113 0.;
239, 650 501 112 31.19;
240, 650 502 111 31.19;
241, 650 501 112 31.19;
242, 650 502 114 31.19;
243, 650 502 112 31.19;
244, 650 502 112 31.25;
245, 650 501 112 31.19;
246, 650 502 114 31.25;
247, 650 501 112 31.19;
248, 650 502 112 31.25;
249, 649 501 112 31.19;
250, 650 502 113 31.19;
251, 650 502 112 31.25;
252, 649 501 112 31.19;
253, 650 502 113 31.19;
254, 650 502 113 31.19;
255, 650 502 113 31.19;
256, 650 502 113 31.19;
257, 649 501 112 31.25;
258, 650 501 112 31.19;
259, 650 502 114 31.25;
260, 650 502 112 31.19;
261, 650 502 113 31.19;
262, 649 501 112 31.19;
263, 649 502 113 31.19;
264, 650 502 112 31.19;
265, 650 502 112 31.19;
266, 650 501 112 31.25;
267, 650 501 112 31.25;
268, 649 501 112 31.25;
269, 650 502 114 31.25;
270, 650 502 112 31.19;
271, 650 502 114 31.25;
272, 650 502 113 31.19;
273, 650 502 114 31.25;
274, 649 501 113 31.25;
275, 650 501 112 31.25;
276, 650 502 112 31.19;
277, 650 502 113 31.25;
278, 649 502 113 31.25;
279, 650 502 113 31.25;
280, 650 502 113 31.25;
281, 650 501 112 31.19;
282, 650 501 113 31.25;
283, 650 502 114 31.25;
284, 649 501 113 31.19;
285, 650 501 113 31.25;
286, 650 502 113 31.25;
287, 650 501 112 31.25;
288, 650 502 114 31.25;
289, 650 501 112 31.25;
290, 650 501 112 31.25;
291, 650 501 113 31.25;
292, 650 502 113 31.25;
293, 650 31 113 31.25;
294, 650 502 113 31.19;
295, 650 501 112 31.19;
296, 650 502 113 31.25;
297, 650 502 113 31.25;
298, 649 501 113 31.19;
299, 650 502 113 31.25;
300, 651 501 112 31.25;
301, 650 502 114 31.19;
302, 650 502 113 31.25;
303, 650 501 112 31.25;
304, 650 502 112 31.19;
305, 649 502 113 31.19;
306, 649 502 113 31.25;
307, 650 503 112 31.19;
308, 650 502 112 31.25;
309, 650 502 114 31.25;
310, 650 501 112 31.25;
311, 649 501 113 31.19;
312, 650 502 113 31.25;
313, 649 502 113 31.25;
314, 650 502 112 31.25;
315, 650 502 113 31.25;
316, 650 502 114 31.25;
317, 650 502 113 31.25;
318, 649 501 112 31.;
319, 650 501 112 31.25;
320, 650 502 113 31.19;
321, 649 501 113 31.25;
322, 650 502 113 31.19;
323, 650 502 113 31.25;
324, 650 502 112 31.25;
325, 650 502 113 31.25;
326, 650 502 112 31.25;
327, 650 501 112 31.25;
328, 650 501 112 31.25;
329, 649 501 113 31.25;
330, 650 502 113 31.19;
331, 650 502 113 31.25;
332, 650 502 113 31.19;
333, 650 502 112 31.19;
334, 649 502 112 31.25;
335, 651 501 112 31.25;
336, 650 501 112 31.25;
337, 650 502 114 31.31;
338, 650 502 114 31.25;
339, 650 502 112 31.25;
340, 650 502 112 31.25;
341, 650 501 112 31.25;
342, 650 502 113 31.25;
343, 650 502 113 31.25;
344, 650 502 112 31.25;
345, 650 502 112 31.25;
346, 650 502 113 31.25;
347, 650 113 31 31.25;
348, 650 501 112 31.25;
349, 650 502 112 31.25;
350, 650 502 112 31.25;
351, 649 501 113 31.25;
352, 649 501 113 31.25;
353, 650 501 112 31.25;
354, 650 502 114 31.25;
355, 650 501 112 31.25;
356, 649 501 113 31.25;
357, 650 501 113 31.25;
358, 649 501 112 31.31;
359, 650 502 112 31.31;
360, 650 502 113 31.25;
361, 650 502 113 31.25;
362, 650 501 113 31.19;
363, 650 502 114 31.25;
