1, 647 500 113 30.81;
2, 648 501 112 30.81;
3, 647 500 0 30.81;
4, 647 500 112 30.75;
5, 648 501 114 30.81;
6, 647 501 114 30.75;
7, 647 501 113 30.75;
8, 647 501 114 30.75;
9, 647 500 112 30.75;
10, 647 501 113 0.;
11, 648 500 112 30.81;
12, 648 500 112 30.75;
13, 648 501 114 30.81;
14, 647 500 113 30.81;
15, 647 500 112 30.81;
16, 648 501 113 30.75;
17, 647 500 113 30.75;
18, 648 500 112 30.81;
19, 648 500 112 30.81;
20, 648 501 112 30.81;
21, 648 501 113 30.75;
22, 647 500 112 30.81;
23, 648 501 113 30.81;
24, 648 500 112 30.81;
25, 647 500 112 30.81;
26, 648 500 112 30.81;
27, 647 500 113 30.81;
28, 648 501 114 30.81;
29, 0 30 114 30.81;
30, 648 501 112 30.81;
31, 648 501 114 30.81;
32, 647 500 114 30.75;
33, 648 500 112 30.75;
34, 648 500 112 30.81;
35, 648 500 113 30.81;
36, 648 501 112 30.75;
