1, 647 498 113 30.56;
2, 647 498 114 30.56;
3, 648 498 113 30.56;
4, 647 498 114 30.56;
5, 648 498 112 30.5;
6, 648 498 112 30.56;
7, 647 498 112 30.56;
8, 648 499 113 30.62;
9, 648 499 112 30.56;
10, 648 499 112 30.56;
11, 647 498 113 30.56;
12, 648 498 112 30.56;
13, 647 498 113 30.56;
14, 647 498 113 30.56;
15, 648 498 112 30.62;
16, 648 499 114 30.62;
17, 647 498 113 30.56;
18, 648 499 114 30.56;
19, 648 498 113 30.56;
20, 647 498 113 30.56;
21, 647 498 113 30.56;
22, 648 499 113 30.56;
23, 648 498 112 30.56;
24, 648 498 113 30.56;
25, 648 499 113 30.56;
